,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,release_year,genres,director,roi_domestic,roi_foreign,roi_worldwide
38,2014-05-23,X-Men: Days of Future Past 2014,200000000,233921534,747862775,513941241,547862775,2014,"Action,Adventure,Sci-Fi",Bryan Singer,16.960766999999997,156.9706205,273.9313875
39,2014-05-02,The Amazing Spider-Man 2 2014,200000000,202853933,708996336,506142403,508996336,2014,"Action,Adventure,Sci-Fi",Marc Webb,1.4269665,153.0712015,254.498168
40,2011-06-24,Cars 2 2011,200000000,191450875,560155383,368704508,360155383,2011,"Adventure,Animation,Comedy","Bradford Lewis, John Lasseter",-4.2745625,84.352254,180.0776915
41,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald 2018,200000000,159555901,652220086,492664185,452220086,2018,"Adventure,Family,Fantasy",David Yates,-20.2220495,146.33209250000002,226.110043
42,2011-06-17,Green Lantern 2011,200000000,116601172,219535492,102934320,19535492,2011,"Action,Adventure,Sci-Fi",Martin Campbell,-41.699414000000004,-48.53284,9.767745999999999
43,2011-06-29,Transformers: Dark of the Moon 2011,195000000,352390543,1123790543,771400000,928790543,2011,"Action,Adventure,Sci-Fi",Michael Bay,80.71309897435897,295.5897435897436,476.3028425641026
44,2017-06-09,The Mummy 2017,195000000,80101125,409953905,329852780,214953905,2017,"Action,Adventure,Fantasy",Alex Kurtzman,-58.9225,69.1552717948718,110.23277179487178
45,2013-03-01,Jack the Giant Slayer 2013,195000000,65187603,197687603,132500000,2687603,2013,"Adventure,Fantasy",Bryan Singer,-66.57046,-32.05128205128205,1.3782579487179487
46,2015-04-03,Furious 7 2015,190000000,353007020,1518722794,1165715774,1328722794,2015,"Action,Crime,Thriller",James Wan,85.79316842105264,513.5346178947368,699.3277863157895
47,2013-05-16,Star Trek Into Darkness 2013,190000000,228778661,467381584,238602923,277381584,2013,"Action,Adventure,Sci-Fi",J.J. Abrams,20.40982157894737,25.580485789473684,145.99030736842104
48,2013-06-21,World War Z 2013,190000000,202359711,531514650,329154939,341514650,2013,"Action,Adventure,Horror",Marc Forster,6.505111052631579,73.23944157894738,179.74455263157896
49,2013-05-10,The Great Gatsby 2013,190000000,144840419,351040419,206200000,161040419,2013,"Drama,Romance",Baz Luhrmann,-23.768200526315788,8.526315789473685,84.75811526315789
