,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,release_year,genres,director,roi_domestic,roi_foreign,roi_worldwide
344,2015-09-18,Maze Runner: The Scorch Trials 2015,61000000,81697192,310566162,228868970,249566162,2015,"Action,Sci-Fi,Thriller",Wes Ball,33.92982295081967,275.19503278688524,409.12485573770493
345,2013-08-02,2 Guns 2013,61000000,75612460,132493015,56880555,71493015,2013,"Action,Comedy,Crime",Baltasar Kormákur,23.954852459016394,-6.753188524590165,117.20166393442624
346,2014-02-07,The Lego Movie 2014,60000000,257784718,457729388,199944670,397729388,2014,"Action,Adventure,Animation","Phil Lord, Christopher Miller",329.64119666666664,233.24111666666667,662.8823133333333
347,2016-09-09,Sully 2016,60000000,125070033,238524556,113454523,178524556,2016,"Biography,Drama",Clint Eastwood,108.450055,89.09087166666667,297.5409266666667
349,2012-12-21,Jack Reacher 2012,60000000,80070736,217370736,137300000,157370736,2012,"Action,Crime,Thriller",Christopher McQuarrie,33.45122666666667,128.83333333333334,262.28456
350,2011-09-09,Contagion 2011,60000000,75658097,137551594,61893497,77551594,2011,"Action,Drama,Thriller",Steven Soderbergh,26.096828333333335,3.1558283333333335,129.25265666666667
351,2016-03-04,London Has Fallen 2016,60000000,62524260,195194085,132669825,135194085,2016,"Action,Thriller",Babak Najafi,4.2071,121.116375,225.32347499999997
352,2016-10-21,Jack Reacher: Never Go Back 2016,60000000,58697076,159946489,101249413,99946489,2016,"Action,Thriller",Edward Zwick,-2.17154,68.74902166666666,166.57748166666667
353,2017-05-25,Baywatch 2017,60000000,58060186,175863783,117803597,115863783,2017,"Action,Comedy,Crime",Seth Gordon,-3.233023333333333,96.33932833333333,193.106305
354,2015-12-25,Joy 2015,60000000,56451232,101134059,44682827,41134059,2015,Drama,David O. Russell,-5.9146133333333335,-25.528621666666666,68.556765
355,2012-08-17,ParaNorman 2012,60000000,56003051,108119662,52116611,48119662,2012,"Adventure,Animation,Comedy","Chris Butler, Sam Fell",-6.661581666666666,-13.138981666666666,80.19943666666667
356,2014-09-26,The Boxtrolls 2014,60000000,50837305,111946251,61108946,51946251,2014,"Adventure,Animation,Comedy","Graham Annable, Anthony Stacchi",-15.271158333333334,1.8482433333333332,86.577085
357,2017-08-04,The Dark Tower 2017,60000000,50701325,113461527,62760202,53461527,2017,"Action,Adventure,Fantasy",Nikolaj Arcel,-15.497791666666666,4.600336666666666,89.102545
358,2014-01-17,Jack Ryan: Shadow Recruit 2014,60000000,50577412,131377412,80800000,71377412,2014,"Action,Drama,Thriller",Kenneth Branagh,-15.704313333333333,34.66666666666667,118.96235333333334
359,2018-12-25,Vice 2018,60000000,47836282,70883171,23046889,10883171,2018,"Biography,Comedy,Drama",Adam McKay,-20.272863333333333,-61.58851833333333,18.138618333333334
360,2013-01-11,Gangster Squad 2013,60000000,46000903,104100903,58100000,44100903,2013,"Action,Crime,Drama",Ruben Fleischer,-23.33182833333333,-3.166666666666667,73.501505
361,2017-04-07,Smurfs: The Lost Village 2017,60000000,45020282,197578586,152558304,137578586,2017,"Adventure,Animation,Comedy",Kelly Asbury,-24.96619666666667,154.26384,229.29764333333333
362,2018-10-12,First Man 2018,60000000,44936545,105203825,60267280,45203825,2018,"Biography,Drama,History",Damien Chazelle,-25.105758333333334,0.4454666666666667,75.33970833333333
364,2012-09-21,Trouble with the Curve 2012,60000000,35763137,47818913,12055776,-12181087,2012,"Drama,Sport",Robert Lorenz,-40.39477166666667,-79.90704,-20.301811666666666
365,2019-02-08,Cold Pursuit 2019,60000000,32138862,62599159,30460297,2599159,2019,"Action,Crime,Drama",Hans Petter Moland,-46.43523,-49.23283833333333,4.331931666666667
366,2013-08-21,The Mortal Instruments: City of Bones 2013,60000000,31165421,75965567,44800146,15965567,2013,"Action,Fantasy,Horror",Harald Zwart,-48.057631666666666,-25.333090000000002,26.609278333333336
367,2011-05-13,Priest 2011,60000000,29136626,84154026,55017400,24154026,2011,"Action,Adventure,Fantasy",Scott Stewart,-51.43895666666667,-8.304333333333332,40.25671
368,2015-01-23,Mortdecai 2015,60000000,7696134,30396134,22700000,-29603866,2015,"Action,Comedy,Crime",David Koepp,-87.17311,-62.16666666666667,-49.339776666666666
369,2015-12-11,The Ridiculous 6 2015,60000000,0,0,0,-60000000,2015,"Comedy,Western",Frank Coraci,-100.0,-100.0,-100.0
370,2019-11-08,Midway 2019,59500000,0,0,0,-59500000,2019,"Action,Drama,History",Roland Emmerich,-100.0,-100.0,-100.0
371,2018-03-23,Sherlock Gnomes 2018,59000000,43242871,87527651,44284780,28527651,2018,"Adventure,Animation,Comedy",John Stevenson,-26.706998305084745,-24.94105084745763,48.35195084745762
372,2019-01-25,The Kid Who Would Be King 2019,59000000,16790790,28348446,11557656,-30651554,2019,"Action,Adventure,Family",Joe Cornish,-71.54103389830509,-80.41075254237288,-51.951786440677964
373,2016-02-12,Deadpool 2016,58000000,363070709,801025593,437954884,743025593,2016,"Action,Adventure,Comedy",Tim Miller,525.9839810344827,655.0946275862069,1281.0786086206897
374,2014-12-25,American Sniper 2014,58000000,350126372,547326372,197200000,489326372,2014,"Action,Biography,Drama",Clint Eastwood,503.66615862068966,240.0,843.6661586206898
375,2015-10-16,Goosebumps 2015,58000000,80069458,158905324,78835866,100905324,2015,"Adventure,Comedy,Family",Rob Letterman,38.05078965517241,35.92390689655172,173.97469655172412
376,2012-01-20,Red Tails 2012,58000000,49876377,50365498,489121,-7634502,2012,"Action,Adventure,Drama",Anthony Hemingway,-14.00624655172414,-99.15668793103448,-13.16293448275862
377,2013-06-07,The Internship 2013,58000000,44672764,93672764,49000000,35672764,2013,Comedy,Shawn Levy,-22.977993103448277,-15.517241379310345,61.50476551724138
378,2017-03-24,Life 2017,58000000,30234022,100929666,70695644,42929666,2017,"Horror,Sci-Fi,Thriller",Daniel Espinosa,-47.872375862068964,21.889041379310346,74.01666551724138
380,2012-06-15,That's My Boy 2012,57500000,36931089,58085235,21154146,585235,2012,Comedy,Sean Anders,-35.772019130434785,-63.210180869565214,1.0178
381,2014-12-25,Into the Woods 2014,56200000,128002372,213116401,85114029,156916401,2014,"Adventure,Comedy,Drama",Rob Marshall,127.76222775800711,51.448450177935946,279.21067793594307
382,2018-11-02,Bohemian Rhapsody 2018,55000000,216303339,894985342,678682003,839985342,2018,"Biography,Drama,Music",Bryan Singer,293.27879818181816,1133.9672781818183,1527.2460763636363
383,2017-02-10,Fifty Shades Darker 2017,55000000,114434010,381398492,266964482,326398492,2017,"Drama,Romance",James Foley,108.06183636363636,385.3899672727273,593.4518036363636
384,2013-10-11,Captain Phillips 2013,55000000,107136417,220648184,113511767,165648184,2013,"Biography,Drama,Thriller",Paul Greengrass,94.79348545454546,106.3850309090909,301.1785163636364
385,2017-11-10,Murder on the Orient Express 2017,55000000,102826543,345922730,243096187,290922730,2017,"Crime,Drama,Mystery",Kenneth Branagh,86.95735090909092,341.9930672727273,528.9504181818182
386,2014-09-26,The Equalizer 2014,55000000,101530738,192903624,91372886,137903624,2014,"Action,Crime,Thriller",Antoine Fuqua,84.60134181818182,66.13252,250.7338618181818
387,2018-02-09,Fifty Shades Freed 2018,55000000,100407760,371350619,270942859,316350619,2018,"Drama,Romance,Thriller",James Foley,82.55956363636363,392.62338,575.1829436363637
389,2013-11-01,Free Birds 2013,55000000,55750480,110387072,54636592,55387072,2013,"Adventure,Animation,Comedy",Jimmy Hayward,1.364509090909091,-0.6607418181818181,100.70376727272728
390,2014-03-21,Muppets Most Wanted 2014,55000000,51178893,79312301,28133408,24312301,2014,"Adventure,Comedy,Crime",James Bobin,-6.947467272727273,-48.848349090909096,44.20418363636364
391,2016-08-19,Kubo and the Two Strings 2016,55000000,48023088,77548122,29525034,22548122,2016,"Action,Adventure,Animation",Travis Knight,-12.685294545454544,-46.31812,40.99658545454545
394,2012-07-27,The Watch 2012,55000000,34353000,67130045,32777045,12130045,2012,"Action,Comedy,Horror",Akiva Schaffer,-37.54,-40.40537272727273,22.054627272727274
395,2018-02-23,Annihilation 2018,55000000,32732301,43070915,10338614,-11929085,2018,"Adventure,Drama,Horror",Alex Garland,-40.48672545454545,-81.20252,-21.689245454545457
396,2015-10-16,Crimson Peak 2015,55000000,31090320,74966854,43876534,19966854,2015,"Drama,Fantasy,Horror",Guillermo del Toro,-43.472145454545455,-20.224483636363637,36.30337090909091
397,2012-04-27,The Pirates! Band of Misfits 2012,55000000,31051126,136143605,105092479,81143605,2012,"Adventure,Animation,Comedy","Jeff Newitt, Peter Lord",-43.54340727272727,91.07723454545454,147.53382727272728
398,2015-09-18,Black Mass 2015,53000000,62575678,98837872,36262194,45837872,2015,"Biography,Crime,Drama",Scott Cooper,18.067316981132077,-31.580766037735845,86.48655094339622
399,2012-12-19,Zero Dark Thirty 2012,52500000,95720716,134612435,38891719,82112435,2012,"Drama,Thriller",Kathryn Bigelow,82.32517333333334,-25.920535238095237,156.4046380952381
401,2011-08-05,The Change-Up 2011,52000000,37243418,75997067,38753649,23997067,2011,"Comedy,Fantasy",David Dobkin,-28.378042307692308,-25.47375192307692,46.14820576923077
402,2018-08-17,Alpha 2018,51000000,35851379,99624873,63773494,48624873,2018,"Adventure,Drama,Family",Albert Hughes,-29.70317843137255,25.04606666666667,95.34288823529413
403,2011-03-04,The Adjustment Bureau 2011,50200000,62495645,126931325,64435680,76731325,2011,"Romance,Sci-Fi,Thriller",George Nolfi,24.49331673306773,28.35792828685259,152.8512450199203
404,2012-06-29,Ted 2012,50000000,218665740,556016627,337350887,506016627,2012,"Comedy,Fantasy",Seth MacFarlane,337.33148,574.701774,1012.0332539999999
405,2014-06-13,22 Jump Street 2014,50000000,191719337,331333876,139614539,281333876,2014,"Action,Comedy,Crime","Phil Lord, Christopher Miller",283.438674,179.22907800000002,562.6677520000001
406,2016-06-17,Central Intelligence 2016,50000000,127440871,217194805,89753934,167194805,2016,"Action,Comedy,Crime",Rawson Marshall Thurber,154.881742,79.507868,334.38961
407,2013-12-18,Anchorman 2: The Legend Continues 2013,50000000,127352707,172185754,44833047,122185754,2013,Comedy,Adam McKay,154.705414,-10.333905999999999,244.371508
408,2011-06-10,Super 8 2011,50000000,127004179,257972745,130968566,207972745,2011,"Mystery,Sci-Fi,Thriller",J.J. Abrams,154.008358,161.937132,415.94549
409,2018-11-21,Creed II 2018,50000000,115715889,213591522,97875633,163591522,2018,"Drama,Sport",Steven Caple Jr.,131.431778,95.751266,327.183044
410,2018-02-09,Peter Rabbit 2018,50000000,115234093,347136477,231902384,297136477,2018,"Adventure,Animation,Comedy",Will Gluck,130.468186,363.804768,594.272954
411,2018-12-14,The Mule 2018,50000000,103804407,170857676,67053269,120857676,2018,"Crime,Drama,Thriller",Clint Eastwood,107.608814,34.106538,241.715352
412,2014-02-28,Non-Stop 2014,50000000,91742160,222383055,130640895,172383055,2014,"Action,Mystery,Thriller",Jaume Collet-Serra,83.48432,161.28179,344.76610999999997
413,2017-07-28,The Emoji Movie 2017,50000000,86089513,216562312,130472799,166562312,2017,"Adventure,Animation,Comedy",Tony Leondis,72.17902600000001,160.945598,333.124624
414,2017-12-22,The Post 2017,50000000,81903458,179748880,97845422,129748880,2017,"Biography,Drama,History",Steven Spielberg,63.806916,95.690844,259.49775999999997
415,2011-12-23,We Bought a Zoo 2011,50000000,75624550,118729073,43104523,68729073,2011,"Comedy,Drama,Family",Cameron Crowe,51.249100000000006,-13.790954,137.458146
416,2011-09-23,Moneyball 2011,50000000,75605492,111300835,35695343,61300835,2011,"Biography,Drama,Sport",Bennett Miller,51.210984,-28.609314,122.60167
417,2012-04-06,American Reunion 2012,50000000,56758835,236799211,180040376,186799211,2012,Comedy,"Jon Hurwitz, Hayden Schlossberg",13.51767,260.080752,373.598422
418,2013-01-25,Hansel & Gretel: Witch Hunters 2013,50000000,55703475,214949716,159246241,164949716,2013,"Action,Fantasy,Horror",Tommy Wirkola,11.40695,218.492482,329.899432
419,2017-09-29,American Made 2017,50000000,51342000,135569212,84227212,85569212,2017,"Action,Biography,Comedy",Doug Liman,2.6839999999999997,68.454424,171.138424
420,2014-10-17,The Book of Life 2014,50000000,50151543,97651543,47500000,47651543,2014,"Adventure,Animation,Comedy",Jorge R. Gutiérrez,0.30308599999999997,-5.0,95.30308600000001
421,2014-08-08,Into the Storm 2014,50000000,47602194,150429371,102827177,100429371,2014,"Action,Adventure,Drama",Steven Quale,-4.795612,105.65435400000001,200.858742
422,2014-10-10,The Judge 2014,50000000,47119388,76119388,29000000,26119388,2014,"Crime,Drama",David Dobkin,-5.761224,-42.0,52.238776
423,2016-08-19,War Dogs 2016,50000000,43034523,86234503,43199980,36234503,2016,"Comedy,Crime,Drama",Todd Phillips,-13.930954000000002,-13.60004,72.46900600000001
424,2016-05-20,The Nice Guys 2016,50000000,36261763,59596747,23334984,9596747,2016,"Action,Comedy,Crime",Shane Black,-27.476474,-53.330032,19.193494
427,2016-02-12,Zoolander 2 2016,50000000,28848693,55348693,26500000,5348693,2016,Comedy,Ben Stiller,-42.302614,-47.0,10.697386
428,2013-03-29,The Host 2013,50000000,26623701,64477051,37853350,14477051,2013,"Action,Adventure,Drama",Andrew Niccol,-46.752598,-24.293300000000002,28.954102
429,2015-03-13,Run All Night 2015,50000000,26461644,66961644,40500000,16961644,2015,"Action,Drama,Thriller",Jaume Collet-Serra,-47.076712,-19.0,33.923288
430,2019-04-12,Hellboy 2019,50000000,21903748,40725492,18821744,-9274508,2019,"Action,Adventure,Fantasy",Neil Marshall,-56.192504,-62.356511999999995,-18.549015999999998
431,2011-04-08,Your Highness 2011,50000000,21596445,26121638,4525193,-23878362,2011,"Adventure,Comedy,Fantasy",David Gordon Green,-56.80711000000001,-90.949614,-47.756724
432,2016-09-16,Snowden 2016,50000000,21587519,35380918,13793399,-14619082,2016,"Biography,Drama,Thriller",Oliver Stone,-56.824962,-72.413202,-29.238164
433,2011-09-30,Dream House 2011,50000000,21302340,41642166,20339826,-8357834,2011,"Drama,Mystery,Thriller",Jim Sheridan,-57.395320000000005,-59.320348,-16.715668
434,2016-06-24,Free State of Jones 2016,50000000,20810036,23237252,2427216,-26762748,2016,"Action,Biography,Drama",Gary Ross,-58.37992800000001,-95.145568,-53.525496
435,2013-02-14,Beautiful Creatures 2013,50000000,19452138,60282876,40830738,10282876,2013,"Drama,Fantasy,Romance",Richard LaGravenese,-61.095724,-18.338524,20.565752
436,2011-02-25,Drive Angry 2011,50000000,10721033,41042583,30321550,-8957417,2011,"Action,Fantasy,Thriller",Patrick Lussier,-78.55793399999999,-39.3569,-17.914834
437,2018-02-16,Early Man 2018,50000000,8267544,45285890,37018346,-4714110,2018,"Adventure,Animation,Comedy",Nick Park,-83.464912,-25.963308,-9.42822
438,2015-04-17,Child 44 2015,50000000,1224330,8004221,6779891,-41995779,2015,"Crime,Drama,History",Daniel Espinosa,-97.55134,-86.440218,-83.991558
439,2013-03-15,Upside Down 2013,50000000,102118,26387039,26284921,-23612961,2013,Documentary,Lisa Tahon,-99.79576399999999,-47.430158,-47.225922
440,2019-11-22,The Rhythm Section 2019,50000000,0,0,0,-50000000,2019,"Action,Mystery,Thriller",Reed Morano,-100.0,-100.0,-100.0
441,2019-09-20,Ad Astra 2019,49800000,0,0,0,-49800000,2019,"Adventure,Drama,Mystery",James Gray,-100.0,-100.0,-100.0
442,2015-03-06,Chappie 2015,49000000,31569268,105002056,73432788,56002056,2015,"Action,Crime,Drama",Neill Blomkamp,-35.5729224489796,49.862832653061226,114.28991020408164
443,2012-11-16,Anna Karenina 2012,49000000,12816367,71004627,58188260,22004627,2012,"Drama,Romance",Joe Wright,-73.84414897959184,18.751551020408165,44.90740204081632
444,2018-11-16,Instant Family 2018,48000000,67363237,119736188,52372951,71736188,2018,"Comedy,Drama",Sean Anders,40.340077083333334,9.110314583333333,149.45039166666666
446,2016-07-13,The Infiltrator 2016,47500000,15436808,20718104,5281296,-26781896,2016,"Biography,Crime,Drama",Brad Furman,-67.50145684210527,-88.88148210526316,-56.38293894736842
447,2016-11-11,Arrival 2016,47000000,100546139,203127894,102581755,156127894,2016,"Drama,Mystery,Sci-Fi",Denis Villeneuve,113.92795531914895,118.25905319148937,332.1870085106383
449,2016-12-23,Silence 2016,46500000,7100177,23726626,16626449,-22773374,2016,"Adventure,Drama,History",Martin Scorsese,-84.73080215053763,-64.24419569892473,-48.97499784946236
450,2013-09-20,Prisoners 2013,46000000,61002302,113402302,52400000,67402302,2013,"Crime,Drama,Mystery",Denis Villeneuve,32.6137,13.91304347826087,146.52674347826087
451,2012-10-05,Taken 2 2012,45000000,139854287,377807404,237953117,332807404,2012,"Action,Thriller",Olivier Megaton,210.78730444444443,428.78470444444446,739.572008888889
452,2017-12-22,Pitch Perfect 3 2017,45000000,104897530,185736412,80838882,140736412,2017,"Comedy,Music",Trish Sie,133.10562222222222,79.64196,312.7475822222222
453,2011-11-23,The Muppets 2011,45000000,88625922,160971922,72346000,115971922,2011,"Adventure,Comedy,Family",James Bobin,96.94649333333332,60.76888888888888,257.7153822222222
454,2016-10-07,The Girl on the Train 2016,45000000,75395035,174278214,98883179,129278214,2016,"Crime,Drama,Mystery",Tate Taylor,67.54452222222223,119.74039777777779,287.28492
456,2016-12-09,Office Christmas Party 2016,45000000,54767494,91323299,36555805,46323299,2016,Comedy,"Josh Gordon, Will Speck",21.70554222222222,-18.764877777777777,102.94066444444445
457,2012-07-06,Savages 2012,45000000,47323100,82513490,35190390,37513490,2012,"Crime,Drama,Thriller",Oliver Stone,5.162444444444445,-21.799133333333334,83.36331111111112
458,2014-05-23,Blended 2014,45000000,46290741,127990741,81700000,82990741,2014,"Comedy,Romance",Frank Coraci,2.868313333333333,81.55555555555556,184.42386888888888
459,2017-06-16,All Eyez on Me 2017,45000000,44922302,54876855,9954553,9876855,2017,"Biography,Drama,Music",Benny Boom,-0.17266222222222224,-77.8787711111111,21.948566666666665
460,2019-05-03,UglyDolls 2019,45000000,19894664,24644664,4750000,-20355336,2019,"Adventure,Animation,Comedy",Kelly Asbury,-55.78963555555555,-89.44444444444444,-45.23408
462,2012-09-21,Dredd 2012,45000000,13414714,41467606,28052892,-3532394,2012,"Action,Crime,Sci-Fi",Pete Travis,-70.18952444444444,-37.66024,-7.849764444444444
463,2011-10-28,The Rum Diary 2011,45000000,13109815,21544732,8434917,-23455268,2011,"Comedy,Drama",Bruce Robinson,-70.86707777777778,-81.25574,-52.122817777777776
464,2018-12-21,Welcome to Marwen 2018,45000000,10763520,12874922,2111402,-32125078,2018,"Biography,Comedy,Drama",Robert Zemeckis,-76.08106666666666,-95.30799555555556,-71.38906222222222
465,2011-10-21,Johnny English Reborn 2011,45000000,8406711,164640401,156233690,119640401,2011,"Action,Adventure,Comedy",Oliver Parker,-81.31842,247.1859777777778,265.8675577777778
466,2012-12-31,Foodfight! 2012,45000000,0,73706,73706,-44926294,2012,"Action,Animation,Comedy",Lawrence Kasanoff,-100.0,-99.83620888888889,-99.83620888888889
467,2012-10-12,Argo 2012,44500000,136025503,227140757,91115254,182640757,2012,"Biography,Drama,Thriller",Ben Affleck,205.67528764044943,104.75337977528089,410.42866741573033
469,2014-02-06,The Interview 2014,44000000,6105175,12342632,6237457,-31657368,2014,Comedy,"Evan Goldberg, Seth Rogen",-86.12460227272727,-85.82396136363636,-71.94856363636364
470,2013-06-28,The Heat 2013,43000000,159581587,229727774,70146187,186727774,2013,"Action,Comedy,Crime",Paul Feig,271.1199697674419,63.13066744186047,434.25063720930234
471,2011-01-28,The Mechanic 2011,42500000,29121498,76347393,47225895,33847393,2011,"Action,Crime,Thriller",Simon West,-31.478828235294117,11.11975294117647,79.64092470588236
472,2012-03-16,21 Jump Street 2012,42000000,138447667,202812429,64364762,160812429,2012,"Action,Comedy,Crime","Phil Lord, Christopher Miller",229.63730238095238,53.24943333333333,382.88673571428575
473,2017-05-12,Snatched 2017,42000000,45852178,57852177,11999999,15852177,2017,"Action,Adventure,Comedy",Jonathan Levine,9.17185238095238,-71.42857380952381,37.743278571428576
474,2012-10-12,Here Comes the Boom 2012,42000000,45290318,73239258,27948940,31239258,2012,"Action,Comedy,Sport",Frank Coraci,7.834090476190476,-33.454904761904764,74.37918571428571
475,2011-03-11,Red Riding Hood 2011,42000000,37662162,91678442,54016280,49678442,2011,"Fantasy,Horror,Mystery",Catherine Hardwicke,-10.328185714285715,28.61019047619048,118.28200476190476
476,2018-12-25,Holmes & Watson 2018,42000000,30568743,41926605,11357862,-73395,2018,"Adventure,Comedy,Crime",Etan Cohen,-27.217278571428572,-72.95747142857142,-0.17475
477,2012-01-27,One for the Money 2012,42000000,26414527,36197221,9782694,-5802779,2012,"Action,Comedy,Crime",Julie Anne Robinson,-37.108269047619046,-76.70787142857142,-13.816140476190474
478,2012-01-27,Man on a Ledge 2012,42000000,18620000,49621440,31001440,7621440,2012,"Action,Adventure,Crime",Asger Leth,-55.666666666666664,-26.187047619047622,18.146285714285714
480,2019-05-31,Rocketman 2019,41000000,57342725,108642725,51300000,67642725,2019,"Biography,Drama,Music",Dexter Fletcher,39.86030487804878,25.121951219512194,164.982256097561
481,2011-10-14,The Big Year 2011,41000000,7204138,7684524,480386,-33315476,2011,Comedy,David Frankel,-82.42893170731708,-98.82832682926829,-81.25725853658537
483,2015-02-13,Fifty Shades of Grey 2015,40000000,166167230,570998101,404830871,530998101,2015,"Drama,Romance,Thriller",Sam Taylor-Johnson,315.418075,912.0771775,1327.4952524999999
484,2013-12-13,American Hustle 2013,40000000,150117807,257878294,107760487,217878294,2013,"Crime,Drama",David O. Russell,275.2945175,169.4012175,544.695735
485,2014-07-25,Lucy 2014,40000000,126573960,457507776,330933816,417507776,2014,"Action,Sci-Fi,Thriller",Luc Besson,216.4349,727.3345400000001,1043.76944
486,2013-12-25,Lone Survivor 2013,40000000,125095601,149804632,24709031,109804632,2013,"Action,Biography,Drama",Peter Berg,212.7390025,-38.2274225,274.51158000000004
488,2016-01-15,Ride Along 2 2016,40000000,90862685,124827316,33964631,84827316,2016,"Action,Comedy,Crime",Tim Story,127.1567125,-15.088422500000002,212.06829
489,2015-03-27,Get Hard 2015,40000000,90411453,106511453,16100000,66511453,2015,"Comedy,Crime",Etan Cohen,126.0286325,-59.75,166.2786325
490,2016-10-14,The Accountant 2016,40000000,86260045,152962083,66702038,112962083,2016,"Action,Crime,Drama",Gavin O'Connor,115.65011249999999,66.755095,282.4052075
491,2014-11-14,Dumb and Dumber To 2014,40000000,86208010,156553592,70345582,116553592,2014,"Adventure,Comedy","Bobby Farrelly, Peter Farrelly",115.520025,75.863955,291.38398
492,2014-04-25,The Other Woman 2014,40000000,83911193,195111193,111200000,155111193,2014,"Comedy,Romance",Nick Cassavetes,109.7779825,178.0,387.7779825
493,2015-09-25,The Intern 2015,40000000,75764672,197115710,121351038,157115710,2015,"Comedy,Drama",Nancy Meyers,89.41168,203.37759499999999,392.789275
494,2015-10-16,Bridge of Spies 2015,40000000,72313754,162498338,90184584,122498338,2015,"Drama,History,Thriller",Steven Spielberg,80.784385,125.46146,306.245845
495,2016-11-04,Hacksaw Ridge 2016,40000000,67209615,168904682,101695067,128904682,2016,"Biography,Drama,History",Mel Gibson,68.0240375,154.23766750000001,322.261705
496,2011-02-18,Unknown 2011,40000000,63686397,136123083,72436686,96123083,2011,"Action,Mystery,Thriller",Jaume Collet-Serra,59.215992500000006,81.091715,240.30770750000002
498,2011-03-18,The Lincoln Lawyer 2011,40000000,58009200,87145086,29135886,47145086,2011,"Crime,Drama,Thriller",Brad Furman,45.023,-27.160285000000002,117.86271500000001
499,2014-11-26,Horrible Bosses 2 2014,40000000,54445357,105945357,51500000,65945357,2014,"Comedy,Crime",Sean Anders,36.1133925,28.749999999999996,164.8633925
501,2012-08-15,The Odd Life of Timothy Green 2012,40000000,51853450,55249159,3395709,15249159,2012,"Comedy,Drama,Family",Peter Hedges,29.633625000000002,-91.5107275,38.1228975
502,2014-06-20,Jersey Boys 2014,40000000,47047013,65282732,18235719,25282732,2014,"Biography,Drama,Music",Clint Eastwood,17.6175325,-54.4107025,63.206830000000004
503,2011-08-12,Final Destination 5 2011,40000000,42587643,155011165,112423522,115011165,2011,Horror,Steven Quale,6.4691075,181.058805,287.5279125
504,2018-11-16,Widows 2018,40000000,42402632,73866088,31463456,33866088,2018,"Crime,Drama,Thriller",Steve McQueen,6.0065800000000005,-21.34136,84.66521999999999
505,2014-07-18,Sex Tape 2014,40000000,38543473,126069509,87526036,86069509,2014,"Comedy,Romance",Jake Kasdan,-3.6413175,118.81508999999998,215.17377249999998
506,2011-04-15,Scream 4 2011,40000000,38180928,95989590,57808662,55989590,2011,"Horror,Mystery",Wes Craven,-4.54768,44.521654999999996,139.973975
507,2011-03-18,Paul 2011,40000000,37412945,101162106,63749161,61162106,2011,"Adventure,Comedy,Sci-Fi",Greg Mottola,-6.4676374999999995,59.3729025,152.90526499999999
508,2012-12-19,The Guilt Trip 2012,40000000,37134215,41294674,4160459,1294674,2012,"Comedy,Drama",Anne Fletcher,-7.1644625,-89.5988525,3.2366850000000005
509,2011-08-26,Colombiana 2011,40000000,36665854,72295262,35629408,32295262,2011,"Action,Drama,Thriller",Olivier Megaton,-8.335365,-10.92648,80.738155
510,2018-01-12,The Commuter 2018,40000000,36343858,101985431,65641573,61985431,2018,"Action,Mystery,Thriller",Jaume Collet-Serra,-9.140355,64.1039325,154.9635775
511,2011-04-08,Arthur 2011,40000000,33035397,47787943,14752546,7787943,2011,"Comedy,Romance",Jason Winer,-17.4115075,-63.118635,19.4698575
512,2016-12-21,Patriots Day 2016,40000000,31886361,52837989,20951628,12837989,2016,"Action,Crime,Drama",Peter Berg,-20.2840975,-47.62093,32.094972500000004
514,2019-05-03,Long Shot 2019,40000000,30202860,43711031,13508171,3711031,2019,"Comedy,Romance",Jonathan Levine,-24.49285,-66.2295725,9.2775775
515,2013-12-25,Grudge Match 2013,40000000,29807260,69807260,40000000,29807260,2013,"Comedy,Drama,Sport",Peter Segal,-25.48185,0.0,74.51815
516,2017-08-11,The Nut Job 2: Nutty by Nature 2017,40000000,28370522,57438389,29067867,17438389,2017,"Adventure,Animation,Comedy",Cal Brunker,-29.073695,-27.330332499999997,43.5959725
517,2017-06-30,The House 2017,40000000,25584504,31192425,5607921,-8807575,2017,"Comedy,Crime",Andrew Jay Cohen,-36.038740000000004,-85.9801975,-22.0189375
518,2011-01-07,Season of the Witch 2011,40000000,24827228,91126600,66299372,51126600,2011,"Action,Adventure,Fantasy",Dominic Sena,-37.93193,65.74843,127.8165
519,2016-08-26,Mechanic: Resurrection 2016,40000000,21218403,109738840,88520437,69738840,2016,"Action,Adventure,Thriller",Dennis Gansel,-46.953992500000005,121.30109250000001,174.3471
520,2012-02-03,Big Miracle 2012,40000000,20157300,25268680,5111380,-14731320,2012,"Biography,Drama,Family",Ken Kwapis,-49.60675,-87.22155000000001,-36.828300000000006
521,2012-12-21,The Impossible 2012,40000000,19019882,169590606,150570724,129590606,2012,"Drama,History,Thriller",J.A. Bayona,-52.450295000000004,276.42681,323.976515
522,2012-03-09,A Thousand Words 2012,40000000,18450127,20790486,2340359,-19209514,2012,"Comedy,Drama",Brian Robbins,-53.874682500000006,-94.1491025,-48.023785000000004
523,2015-03-20,The Gunman 2015,40000000,10664749,18594227,7929478,-21405773,2015,"Action,Crime,Drama",Pierre Morel,-73.3381275,-80.176305,-53.5144325
524,2013-08-16,Paranoia 2013,40000000,7388654,16340767,8952113,-23659233,2013,"Drama,Thriller",Robert Luketic,-81.52836500000001,-77.6197175,-59.1480825
525,2015-07-10,Baahubali: The Beginning 2015,40000000,6738000,26736665,19998665,-13263335,2015,"Action,Drama",S.S. Rajamouli,-83.155,-50.0033375,-33.1583375
