,title,release_year,average_rating,runtime_minutes,genres,studio,total_gross_mil,domestic_gross,foreign_gross,total_gross
0,Toy Story 3,2010,8.3,103.0,"Adventure,Animation,Comedy",BV,1067.0,"$415,000,000","$652,000,000","$1,067,000,000"
1,Alice In Wonderland ,2010,,,,BV,1025.5,"$334,200,000","$691,300,000","$1,025,500,000"
2,Harry Potter And The Deathly Hallows Part 1,2010,,,,WB,960.3,"$296,000,000","$664,300,000","$960,300,000"
3,Inception,2010,8.8,148.0,"Action,Adventure,Sci-Fi",WB,828.3,"$292,600,000","$535,700,000","$828,300,000"
4,Shrek Forever After,2010,6.3,93.0,"Adventure,Animation,Comedy",P/DW,752.6,"$238,700,000","$513,900,000","$752,600,000"
5,The Twilight Saga: Eclipse,2010,5.0,124.0,"Adventure,Drama,Fantasy",Sum.,698.5,"$300,500,000","$398,000,000","$698,500,000"
6,Iron Man 2,2010,7.0,124.0,"Action,Adventure,Sci-Fi",Par.,623.9,"$312,400,000","$311,500,000","$623,900,000"
7,Tangled,2010,7.8,100.0,"Adventure,Animation,Comedy",BV,591.8,"$200,800,000","$391,000,000","$591,800,000"
8,Despicable Me,2010,7.7,95.0,"Animation,Comedy,Family",Uni.,543.1,"$251,500,000","$291,600,000","$543,100,000"
9,How To Train Your Dragon,2010,8.1,98.0,"Action,Adventure,Animation",P/DW,494.9,"$217,600,000","$277,300,000","$494,900,000"
10,Clash Of The Titans ,2010,,,,WB,493.2,"$163,200,000","$330,000,000","$493,200,000"
11,The Chronicles Of Narnia: The Voyage Of The Dawn Treader,2010,6.3,113.0,"Adventure,Family,Fantasy",Fox,415.7,"$104,400,000","$311,300,000","$415,700,000"
12,The King'S Speech,2010,8.0,118.0,"Biography,Drama,History",Wein.,410.9,"$135,500,000","$275,400,000","$410,900,000"
13,Tron Legacy,2010,,,,BV,400.1,"$172,100,000","$228,000,000","$400,100,000"
14,The Karate Kid,2010,6.2,140.0,"Action,Drama,Family",Sony,359.1,"$176,600,000","$182,500,000","$359,100,000"
15,Prince Of Persia: The Sands Of Time,2010,6.6,116.0,"Action,Adventure,Fantasy",BV,336.4,"$90,800,000","$245,600,000","$336,400,000"
16,Black Swan,2010,8.0,108.0,"Drama,Thriller",FoxS,329.4,"$107,000,000","$222,400,000","$329,400,000"
17,Megamind,2010,7.3,95.0,"Action,Animation,Comedy",P/DW,321.9,"$148,400,000","$173,500,000","$321,900,000"
18,Robin Hood,2010,6.6,140.0,"Action,Adventure,Drama",Uni.,321.7,"$105,300,000","$216,400,000","$321,700,000"
19,The Last Airbender,2010,4.1,103.0,"Action,Adventure,Family",Par.,319.7,"$131,800,000","$187,900,000","$319,700,000"
20,Little Fockers,2010,5.5,98.0,"Comedy,Romance",Uni.,310.6,"$148,400,000","$162,200,000","$310,600,000"
21,Resident Evil: Afterlife,2010,5.9,96.0,"Action,Adventure,Horror",SGem,300.2,"$60,100,000","$240,100,000","$300,200,000"
22,Shutter Island,2010,8.1,138.0,"Mystery,Thriller",Par.,294.8,"$128,000,000","$166,800,000","$294,800,000"
23,Salt,2010,6.4,100.0,"Action,Mystery,Thriller",Sony,293.5,"$118,300,000","$175,200,000","$293,500,000"
24,Sex And The City 2,2010,4.4,146.0,"Comedy,Drama,Romance",WB (NL),288.3,"$95,300,000","$193,000,000","$288,300,000"
25,The Tourist,2010,6.0,103.0,"Action,Adventure,Thriller",Sony,278.3,"$67,600,000","$210,700,000","$278,300,000"
26,The Expendables,2010,6.5,103.0,"Action,Adventure,Thriller",LGF,274.5,"$103,100,000","$171,400,000","$274,500,000"
27,Grown Ups,2010,6.0,102.0,Comedy,Sony,271.4,"$162,000,000","$109,400,000","$271,400,000"
28,Knight & Day,2010,,,,Fox,261.9,"$76,400,000","$185,500,000","$261,900,000"
29,True Grit,2010,7.6,110.0,"Adventure,Drama,Western",Par.,252.2,"$171,200,000","$81,000,000","$252,200,000"
30,Gulliver'S Travels,2010,4.9,85.0,"Adventure,Comedy,Family",Fox,237.4,"$42,800,000","$194,600,000","$237,400,000"
31,Percy Jackson & The Olympians: The Lightning Thief,2010,5.9,118.0,"Adventure,Family,Fantasy",Fox,226.5,"$88,800,000","$137,700,000","$226,500,000"
32,The Social Network,2010,7.7,120.0,"Biography,Drama",Sony,225.0,"$97,000,000","$128,000,000","$225,000,000"
33,Valentine'S Day,2010,5.7,125.0,"Comedy,Romance",WB (NL),216.5,"$110,500,000","$106,000,000","$216,500,000"
34,The Sorcerer'S Apprentice,2010,6.1,109.0,"Action,Adventure,Family",BV,215.3,"$63,200,000","$152,100,000","$215,300,000"
35,Due Date,2010,6.5,95.0,"Adventure,Comedy",WB,211.7,"$100,500,000","$111,200,000","$211,700,000"
36,Eat Pray Love,2010,5.8,133.0,"Drama,Romance",Sony,204.6,"$80,600,000","$124,000,000","$204,600,000"
37,Yogi Bear,2010,4.6,80.0,"Adventure,Animation,Comedy",WB,201.5,"$100,200,000","$101,300,000","$201,500,000"
38,Red,2010,7.1,111.0,"Action,Comedy,Crime",Sum.,199.0,"$90,400,000","$108,600,000","$199,000,000"
39,Paranormal Activity 2,2010,5.7,91.0,Horror,Par.,177.6,"$84,800,000","$92,800,000","$177,600,000"
40,The A-Team,2010,6.8,117.0,"Action,Adventure,Thriller",Fox,177.2,"$77,200,000","$100,000,000","$177,200,000"
41,Jackass 3-D,2010,,,,Par.,171.7,"$117,200,000","$54,500,000","$171,700,000"
42,The Other Guys,2010,6.7,107.0,"Action,Comedy,Crime",Sony,170.4,"$119,200,000","$51,200,000","$170,400,000"
43,Unstoppable,2010,6.8,98.0,"Action,Thriller",Fox,167.8,"$81,600,000","$86,200,000","$167,800,000"
44,Step Up 3-D,2010,,,,BV,159.3,"$42,400,000","$116,900,000","$159,300,000"
45,The Book Of Eli,2010,6.9,118.0,"Action,Adventure,Drama",WB,157.1,"$94,800,000","$62,300,000","$157,100,000"
46,The Town,2010,7.6,125.0,"Crime,Drama,Thriller",WB,154.0,"$92,200,000","$61,800,000","$154,000,000"
47,Date Night,2010,6.3,88.0,"Comedy,Crime,Romance",Fox,152.3,"$98,700,000","$53,600,000","$152,300,000"
48,Legend Of The Guardians: The Owls Of Ga'Hoole,2010,7.0,97.0,"Action,Adventure,Animation",WB,140.1,"$55,700,000","$84,400,000","$140,100,000"
49,The Wolfman,2010,5.8,103.0,"Drama,Fantasy,Horror",Uni.,139.8,"$62,000,000","$77,800,000","$139,800,000"
50,The Bounty Hunter,2010,5.6,110.0,"Action,Comedy,Romance",Sony,136.399999,"$67,099,999","$69,300,000","$136,399,999"
51,The Bounty Hunter,2010,6.3,,,Sony,136.399999,"$67,099,999","$69,300,000","$136,399,999"
52,Saw 3D,2010,,,,LGF,136.1,"$45,700,000","$90,400,000","$136,100,000"
53,Wall Street: Money Never Sleeps,2010,6.2,133.0,Drama,Fox,134.8,"$52,500,000","$82,300,000","$134,800,000"
54,The Fighter,2010,7.8,116.0,"Biography,Drama,Sport",Par.,129.2,"$93,600,000","$35,600,000","$129,200,000"
55,Predators,2010,6.4,107.0,"Action,Adventure,Sci-Fi",Fox,127.2,"$52,000,000","$75,200,000","$127,200,000"
56,A Nightmare On Elm Street ,2010,,,,WB (NL),115.7,"$63,100,000","$52,600,000","$115,700,000"
57,Dear John,2010,6.3,108.0,"Drama,Romance,War",SGem,115.0,"$80,000,000","$35,000,000","$115,000,000"
58,Cats & Dogs: The Revenge Of Kitty Galore,2010,4.3,82.0,"Action,Comedy,Family",WB,112.5,"$43,600,000","$68,900,000","$112,500,000"
59,Tooth Fairy,2010,5.0,101.0,"Comedy,Family,Fantasy",Fox,112.4,"$60,000,000","$52,400,000","$112,400,000"
60,Life As We Know It,2010,6.6,114.0,"Comedy,Drama,Romance",WB,105.7,"$53,400,000","$52,300,000","$105,700,000"
61,Hereafter,2010,6.5,129.0,"Drama,Fantasy,Romance",WB,105.2,"$32,700,000","$72,500,000","$105,200,000"
62,The Girl With The Dragon Tattoo,2010,,,,MBox,104.4,"$10,100,000","$94,300,000","$104,400,000"
63,Love And Other Drugs,2010,,,,Fox,102.9,"$32,400,000","$70,500,000","$102,900,000"
64,Aftershock ,2010,,,,CL,100.263,"$63,000","$100,200,000","$100,263,000"
65,Killers,2010,5.4,100.0,"Action,Comedy,Romance",LGF,98.2,"$47,100,000","$51,100,000","$98,200,000"
66,Kick-Ass,2010,7.6,117.0,"Action,Comedy",LGF,96.2,"$48,100,000","$48,100,000","$96,200,000"
67,Green Zone,2010,6.8,115.0,"Action,Drama,Thriller",Uni.,94.9,"$35,100,000","$59,800,000","$94,900,000"
68,Nanny Mcphee Returns,2010,6.1,109.0,"Comedy,Family,Fantasy",Uni.,93.2,"$29,000,000","$64,200,000","$93,200,000"
69,Get Him To The Greek,2010,6.4,109.0,"Adventure,Comedy,Music",Uni.,91.3,"$61,000,000","$30,300,000","$91,300,000"
70,Burlesque,2010,6.4,119.0,"Drama,Music,Musical",SGem,89.5,"$39,400,000","$50,100,000","$89,500,000"
71,Burlesque,2010,7.0,,Drama,SGem,89.5,"$39,400,000","$50,100,000","$89,500,000"
72,The Last Song,2010,6.0,107.0,"Drama,Music,Romance",BV,89.1,"$63,000,000","$26,100,000","$89,100,000"
73,Dinner For Schmucks,2010,5.9,114.0,Comedy,P/DW,86.8,"$73,000,000","$13,800,000","$86,800,000"
74,Marmaduke,2010,4.2,87.0,"Comedy,Family",Fox,83.7,"$33,600,000","$50,100,000","$83,700,000"
75,Piranha 3D,2010,5.4,88.0,"Comedy,Horror",W/Dim.,83.2,"$25,000,000","$58,200,000","$83,200,000"
76,Oceans,2010,,,,BV,82.6,"$19,400,000","$63,200,000","$82,600,000"
77,Edge Of Darkness,2010,6.6,117.0,"Crime,Drama,Mystery",WB,81.1,"$43,300,000","$37,800,000","$81,100,000"
78,Vampires Suck,2010,3.4,82.0,Comedy,Fox,80.6,"$36,700,000","$43,900,000","$80,600,000"
79,Letters To Juliet,2010,6.6,105.0,"Adventure,Comedy,Drama",Sum.,79.1,"$53,000,000","$26,100,000","$79,100,000"
80,The Back-Up Plan,2010,5.4,104.0,"Comedy,Romance",CBS,77.5,"$37,500,000","$40,000,000","$77,500,000"
81,If You Are The One 2 ,2010,,,,CL,76.027,"$427,000","$75,600,000","$76,027,000"
82,Diary Of A Wimpy Kid,2010,6.2,94.0,"Comedy,Drama,Family",Fox,75.7,"$64,000,000","$11,700,000","$75,700,000"
83,Easy A,2010,7.1,92.0,"Comedy,Drama,Romance",SGem,75.0,"$58,400,000","$16,600,000","$75,000,000"
84,Hubble 3D,2010,,,,WB,73.9,"$52,400,000","$21,500,000","$73,900,000"
85,Takers,2010,6.2,107.0,"Action,Crime,Thriller",SGem,69.0,"$57,700,000","$11,300,000","$69,000,000"
86,Tales From Earthsea,2010,,,,BV,68.6485,"$48,500","$68,600,000","$68,648,500"
87,Legion ,2010,,,,SGem,68.0,"$40,200,000","$27,800,000","$68,000,000"
88,The American,2010,6.3,105.0,"Crime,Drama,Thriller",Focus,67.899999,"$35,600,000","$32,299,999","$67,899,999"
89,The Last Exorcism,2010,5.6,87.0,"Drama,Horror,Thriller",LGF,67.7,"$41,000,000","$26,700,000","$67,700,000"
90,The Next Three Days,2010,7.4,133.0,"Action,Crime,Drama",LGF,67.4,"$21,100,000","$46,300,000","$67,400,000"
91,The Girl Who Played With Fire,2010,,,,MBox,67.1,"$7,600,000","$59,500,000","$67,100,000"
92,Skyline,2010,4.4,92.0,"Action,Sci-Fi,Thriller",Uni.,66.8,"$21,400,000","$45,400,000","$66,800,000"
93,Hot Tub Time Machine,2010,6.4,101.0,"Comedy,Sci-Fi",MGM,64.6,"$50,300,000","$14,300,000","$64,600,000"
94,Devil,2010,6.2,80.0,"Horror,Mystery,Thriller",Uni.,62.7,"$33,600,000","$29,100,000","$62,700,000"
95,127 Hours,2010,7.6,94.0,"Adventure,Biography,Drama",FoxS,60.7,"$18,300,000","$42,400,000","$60,700,000"
96,Tyler Perry'S Why Did I Get Married Too?,2010,,,,LGF,60.678,"$60,100,000","$578,000","$60,678,000"
97,Secretariat,2010,7.2,123.0,"Biography,Drama,Family",BV,60.237,"$59,700,000","$537,000","$60,237,000"
98,The Ghost Writer,2010,7.2,128.0,"Drama,Mystery,Thriller",Sum.,60.2,"$15,500,000","$44,700,000","$60,200,000"
99,Morning Glory,2010,6.5,107.0,"Comedy,Drama,Romance",Par.,60.0,"$31,000,000","$29,000,000","$60,000,000"
100,Remember Me,2010,7.1,113.0,"Drama,Romance",Sum.,56.1,"$19,100,000","$37,000,000","$56,100,000"
101,Cop Out,2010,5.6,107.0,"Action,Comedy,Crime",WB,55.6,"$44,900,000","$10,700,000","$55,600,000"
102,The Crazies,2010,6.5,101.0,"Horror,Thriller",Over.,54.8,"$39,100,000","$15,700,000","$54,800,000"
103,From Paris With Love,2010,6.5,92.0,"Action,Crime,Thriller",LGF,52.8,"$24,100,000","$28,700,000","$52,800,000"
104,Daybreakers,2010,,,,LGF,51.4,"$30,100,000","$21,300,000","$51,400,000"
105,Alpha And Omega,2010,5.3,90.0,"Adventure,Animation,Comedy",LGF,50.5,"$25,100,000","$25,400,000","$50,500,000"
106,The Switch,2010,6.1,101.0,"Comedy,Drama,Romance",Mira.,49.9,"$27,800,000","$22,100,000","$49,900,000"
107,She'S Out Of My League,2010,6.4,104.0,"Comedy,Romance",Par.,49.8,"$32,000,000","$17,800,000","$49,800,000"
108,Death At A Funeral ,2010,,,,SGem,49.0,"$42,700,000","$6,300,000","$49,000,000"
109,How Do You Know,2010,5.4,121.0,"Comedy,Drama,Romance",Sony,48.7,"$30,200,000","$18,500,000","$48,700,000"
110,Charlie St. Cloud,2010,6.5,99.0,"Drama,Fantasy,Romance",Uni.,48.2,"$31,200,000","$17,000,000","$48,200,000"
111,Scott Pilgrim Vs. The World,2010,7.5,112.0,"Action,Comedy,Fantasy",Uni.,47.6,"$31,500,000","$16,100,000","$47,600,000"
112,Heartbreaker,2010,6.8,105.0,"Comedy,Romance",IFC,47.404,"$504,000","$46,900,000","$47,404,000"
113,The Spy Next Door,2010,5.5,94.0,"Action,Comedy,Family",LGF,45.2,"$24,300,000","$20,900,000","$45,200,000"
114,"The Good, The Bad, The Weird",2010,,,,IFC,44.228,"$128,000","$44,100,000","$44,228,000"
115,Machete,2010,6.6,105.0,"Action,Crime,Thriller",Fox,44.1,"$26,600,000","$17,500,000","$44,100,000"
116,The Girl Who Kicked The Hornet'S Nest,2010,,,,MBox,43.5,"$5,200,000","$38,300,000","$43,500,000"
117,The Man From Nowhere,2010,7.8,119.0,"Action,Drama,Thriller",CJ,43.028,"$528,000","$42,500,000","$43,028,000"
118,When In Rome,2010,5.6,91.0,"Comedy,Romance",BV,43.1,"$32,700,000","$10,400,000","$43,100,000"
119,My Name Is Khan,2010,8.0,165.0,Drama,FoxS,42.3,"$4,000,000","$38,300,000","$42,300,000"
120,Going The Distance,2010,6.3,102.0,"Comedy,Romance",WB (NL),42.0,"$17,800,000","$24,200,000","$42,000,000"
121,The Concert,2010,,,,Wein.,41.158,"$658,000","$40,500,000","$41,158,000"
122,Agora,2010,,,,NM,39.019,"$619,000","$38,400,000","$39,019,000"
123,For Colored Girls,2010,6.1,133.0,Drama,LGF,37.7173,"$37,700,000","$17,300","$37,717,300"
124,Brooklyn'S Finest,2010,,,,Over.,36.5,"$27,200,000","$9,300,000","$36,500,000"
125,Furry Vengeance,2010,3.8,92.0,"Comedy,Family",Sum.,36.2,"$17,600,000","$18,600,000","$36,200,000"
126,Faster,2010,6.5,98.0,"Action,Crime,Drama",CBS,35.6,"$23,200,000","$12,400,000","$35,600,000"
127,The Kids Are All Right,2010,7.0,106.0,"Comedy,Drama,Romance",Focus,34.7,"$20,800,000","$13,900,000","$34,700,000"
128,You Will Meet A Tall Dark Stranger,2010,6.3,98.0,"Comedy,Drama,Romance",SPC,34.2,"$3,200,000","$31,000,000","$34,200,000"
129,The Secret In Their Eyes,2010,,,,SPC,34.0,"$6,400,000","$27,600,000","$34,000,000"
130,Avatar: Special Edition,2010,,,,Fox,33.2,"$10,700,000","$22,500,000","$33,200,000"
131,Leap Year,2010,6.5,100.0,"Comedy,Romance",Uni.,32.6,"$25,900,000","$6,700,000","$32,600,000"
132,Leap Year,2010,5.9,94.0,"Drama,Romance",Uni.,32.6,"$25,900,000","$6,700,000","$32,600,000"
133,You Again,2010,5.8,105.0,"Comedy,Family,Romance",BV,32.0,"$25,700,000","$6,300,000","$32,000,000"
134,Mesrine: Killer Instinct,2010,,,,MBox,31.052,"$552,000","$30,500,000","$31,052,000"
135,The Losers,2010,6.4,97.0,"Action,Adventure,Crime",WB,29.4,"$23,600,000","$5,800,000","$29,400,000"
136,Case 39,2010,,,,ParV,28.2,"$13,300,000","$14,900,000","$28,200,000"
137,Ramona And Beezus,2010,6.6,103.0,"Adventure,Comedy,Family",Fox,27.3,"$26,200,000","$1,100,000","$27,300,000"
138,Splice,2010,,,,WB,26.8,"$17,000,000","$9,800,000","$26,800,000"
139,Fair Game ,2010,,,,Sum.,24.1,"$9,500,000","$14,600,000","$24,100,000"
140,Let Me In,2010,7.1,116.0,"Drama,Fantasy,Horror",Over.,24.1,"$12,100,000","$12,000,000","$24,100,000"
141,Mao'S Last Dancer,2010,,,,Gold.,22.3,"$4,800,000","$17,500,000","$22,300,000"
142,Just Wright,2010,5.9,100.0,"Comedy,Romance,Sport",FoxS,21.5299,"$21,500,000","$29,900","$21,529,900"
143,Our Family Wedding,2010,4.9,103.0,"Comedy,Romance",FoxS,21.5,"$20,300,000","$1,200,000","$21,500,000"
144,My Soul To Take,2010,4.8,107.0,"Horror,Mystery,Thriller",Uni.,20.9,"$14,700,000","$6,200,000","$20,900,000"
145,71 Into The Fire,2010,,,,JS,20.977,"$177,000","$20,800,000","$20,977,000"
146,"I Love You, Phillip Morris",2010,,,,RAtt.,20.7,"$2,000,000","$18,700,000","$20,700,000"
147,Country Strong,2010,6.3,117.0,"Drama,Music",SGem,20.51,"$20,200,000","$310,000","$20,510,000"
148,Another Year,2010,7.3,129.0,"Comedy,Drama",SPC,19.7,"$3,200,000","$16,500,000","$19,700,000"
149,Youth In Revolt,2010,,,,W/Dim.,19.7,"$15,300,000","$4,400,000","$19,700,000"
150,Buried,2010,7.0,95.0,"Drama,Mystery,Thriller",LGF,19.1,"$1,000,000","$18,100,000","$19,100,000"
151,[Rec] 2,2010,,,,Magn.,18.5278,"$27,800","$18,500,000","$18,527,800"
152,Repo Men,2010,6.3,111.0,"Action,Crime,Sci-Fi",Uni.,18.4,"$13,800,000","$4,600,000","$18,400,000"
153,A Prophet ,2010,,,,SPC,17.9,"$2,100,000","$15,800,000","$17,900,000"
154,Soul Kitchen,2010,,,,IFC,17.877,"$277,000","$17,600,000","$17,877,000"
155,Mother ,2010,,,,Magn.,17.152,"$552,000","$16,600,000","$17,152,000"
156,Micmacs,2010,,,,SPC,16.4,"$1,300,000","$15,100,000","$16,400,000"
157,The Nutcracker In 3D,2010,4.3,110.0,"Action,Family,Fantasy",Free,16.195,"$195,000","$16,000,000","$16,195,000"
158,Sea Rex 3D: Journey To A Prehistoric World,2010,6.9,41.0,Documentary,3D,16.0,"$6,100,000","$9,900,000","$16,000,000"
159,I Hate Luv Storys,2010,5.7,129.0,"Comedy,Drama,Romance",UTV,15.748,"$848,000","$14,900,000","$15,748,000"
160,Extraordinary Measures,2010,6.5,106.0,Drama,CBS,15.2,"$12,100,000","$3,100,000","$15,200,000"
161,Somewhere,2010,6.3,97.0,"Comedy,Drama",Focus,14.0,"$1,800,000","$12,200,000","$14,000,000"
162,Winter'S Bone,2010,7.2,100.0,"Drama,Mystery",RAtt.,13.8,"$6,500,000","$7,300,000","$13,800,000"
163,The Last Station,2010,,,,SPC,13.5,"$6,600,000","$6,900,000","$13,500,000"
164,Raajneeti,2010,7.2,163.0,"Crime,Drama",UTV,12.6,"$1,500,000","$11,100,000","$12,600,000"
165,Made In Dagenham,2010,7.2,113.0,"Biography,Comedy,Drama",SPC,12.4,"$1,100,000","$11,300,000","$12,400,000"
166,Blue Valentine,2010,7.4,112.0,"Drama,Romance",Wein.,12.3,"$9,700,000","$2,600,000","$12,300,000"
167,Tamara Drewe,2010,6.2,107.0,"Comedy,Drama,Romance",SPC,11.96,"$560,000","$11,400,000","$11,960,000"
168,Chloe,2010,,,,SPC,11.7,"$3,100,000","$8,600,000","$11,700,000"
169,Looking For Eric,2010,,,,IFC,11.5558,"$55,800","$11,500,000","$11,555,800"
170,The Warrior'S Way,2010,6.3,100.0,"Action,Fantasy,Western",Rela.,11.1,"$5,700,000","$5,400,000","$11,100,000"
171,I Am Love,2010,,,,Magn.,10.9,"$5,000,000","$5,900,000","$10,900,000"
172,Jonah Hex,2010,4.7,81.0,"Action,Drama,Fantasy",WB,10.856,"$10,500,000","$356,000","$10,856,000"
173,Harry Brown,2010,,,,Gold.,10.3,"$1,800,000","$8,500,000","$10,300,000"
174,Cyrus,2010,4.7,87.0,"Crime,Horror,Mystery",FoxS,10.0,"$7,500,000","$2,500,000","$10,000,000"
175,Cyrus,2010,6.3,91.0,"Comedy,Drama,Romance",FoxS,10.0,"$7,500,000","$2,500,000","$10,000,000"
176,Conviction,2010,7.2,107.0,"Biography,Crime,Drama",FoxS,9.7,"$6,800,000","$2,900,000","$9,700,000"
177,Get Low,2010,,,,SPC,9.718,"$9,200,000","$518,000","$9,718,000"
178,Babies,2010,7.1,79.0,Documentary,Focus,9.5,"$7,300,000","$2,200,000","$9,500,000"
179,Stone,2010,5.4,105.0,"Drama,Thriller",Over.,9.5,"$1,800,000","$7,700,000","$9,500,000"
180,Peepli Live,2010,,,,UTV,9.458,"$758,000","$8,700,000","$9,458,000"
181,Never Let Me Go,2010,7.1,103.0,"Drama,Romance,Sci-Fi",FoxS,9.4,"$2,400,000","$7,000,000","$9,400,000"
182,Mid-August Lunch,2010,,,,Zeit.,9.375,"$675,000","$8,700,000","$9,375,000"
183,Macgruber,2010,5.5,90.0,"Action,Comedy,Romance",Uni.,9.297,"$8,500,000","$797,000","$9,297,000"
184,City Island,2010,,,,Anch.,7.9,"$6,700,000","$1,200,000","$7,900,000"
185,Inside Job,2010,8.3,109.0,"Crime,Documentary",SPC,7.9,"$4,300,000","$3,600,000","$7,900,000"
186,The Joneses,2010,,,,RAtt.,7.0,"$1,500,000","$5,500,000","$7,000,000"
187,Centurion,2010,6.4,97.0,"Action,Adventure,Drama",Magn.,6.824,"$124,000","$6,700,000","$6,824,000"
188,Animal Kingdom,2010,7.3,113.0,"Crime,Drama",SPC,6.7,"$1,000,000","$5,700,000","$6,700,000"
189,Nowhere Boy,2010,,,,Wein.,6.6,"$1,500,000","$5,100,000","$6,600,000"
190,It'S Kind Of A Funny Story,2010,7.1,101.0,"Comedy,Drama,Romance",Focus,6.528,"$6,400,000","$128,000","$6,528,000"
191,"Waiting For ""Superman""",2010,,,,ParV,6.4093,"$6,400,000","$9,300","$6,409,300"
192,Greenberg,2010,6.1,107.0,"Comedy,Drama,Romance",Focus,6.1,"$4,200,000","$1,900,000","$6,100,000"
193,Coco Chanel & Igor Stravinsky,2010,,,,SPC,5.699999,"$1,600,000","$4,099,999","$5,699,999"
194,Vincere,2010,,,,IFC,5.719,"$619,000","$5,100,000","$5,719,000"
195,The Illusionist ,2010,,,,SPC,5.6,"$2,200,000","$3,400,000","$5,600,000"
196,Exit Through The Gift Shop,2010,8.0,87.0,"Comedy,Crime,Documentary",PDA,5.3,"$3,300,000","$2,000,000","$5,300,000"
197,Mademoiselle Chambon,2010,,,,Lorb.,5.232,"$532,000","$4,700,000","$5,232,000"
198,Solitary Man,2010,,,,Anch.,5.218,"$4,400,000","$818,000","$5,218,000"
199,Rabbit Hole,2010,7.0,91.0,Drama,LGF,5.1,"$2,200,000","$2,900,000","$5,100,000"
200,Vision,2010,,,,Zeit.,5.035,"$435,000","$4,600,000","$5,035,000"
201,Mother And Child,2010,,,,SPC,5.0,"$1,100,000","$3,900,000","$5,000,000"
202,The Runaways,2010,6.6,106.0,"Biography,Drama,Music",App.,4.7,"$3,600,000","$1,100,000","$4,700,000"
203,Four Lions,2010,7.3,97.0,"Comedy,Crime,Drama",Drft.,4.705,"$305,000","$4,400,000","$4,705,000"
204,Wild Grass,2010,,,,SPC,4.604,"$404,000","$4,200,000","$4,604,000"
205,Please Give,2010,6.6,87.0,"Comedy,Drama",SPC,4.28,"$4,000,000","$280,000","$4,280,000"
206,Monsters,2010,6.4,94.0,"Drama,Sci-Fi,Thriller",Magn.,4.237,"$237,000","$4,000,000","$4,237,000"
207,Rare Exports: A Christmas Tale,2010,6.7,84.0,"Adventure,Fantasy,Horror",Osci.,4.036,"$236,000","$3,800,000","$4,036,000"
208,The Killer Inside Me,2010,6.1,109.0,"Crime,Drama,Horror",IFC,4.017,"$217,000","$3,800,000","$4,017,000"
209,The Perfect Game,2010,,,,IW,3.8,"$1,000,000","$2,800,000","$3,800,000"
210,To Save A Life,2010,,,,Gold.,3.8458,"$3,800,000","$45,800","$3,845,800"
211,Inspector Bellamy,2010,,,,IFC,3.708,"$108,000","$3,600,000","$3,708,000"
212,Catfish,2010,7.1,87.0,"Documentary,Drama,Mystery",Rog.,3.442,"$3,200,000","$242,000","$3,442,000"
213,Wild Target,2010,6.8,98.0,"Action,Comedy,Crime",Free,3.409,"$109,000","$3,300,000","$3,409,000"
214,Outside The Law ,2010,,,,,3.3969,"$96,900","$3,300,000","$3,396,900"
215,Frozen ,2010,,,,Anch.,3.146,"$246,000","$2,900,000","$3,146,000"
216,Dabangg,2010,,,,Eros,3.0,"$1,300,000","$1,700,000","$3,000,000"
217,Kites,2010,6.1,123.0,"Action,Drama,Romance",Relbig.,2.9,"$1,600,000","$1,300,000","$2,900,000"
218,Letters To God,2010,6.3,110.0,"Drama,Family",Viv.,2.8603,"$2,800,000","$60,300","$2,860,300"
219,Twelve,2010,5.7,93.0,"Action,Crime,Drama",Hann.,2.584,"$184,000","$2,400,000","$2,584,000"
220,Tees Maar Khan,2010,2.6,135.0,"Comedy,Crime",UTV,2.5,"$1,100,000","$1,400,000","$2,500,000"
221,Fish Tank,2010,,,,IFC,2.375,"$375,000","$2,000,000","$2,375,000"
222,Housefull,2010,5.5,144.0,Comedy,Eros,2.4,"$1,200,000","$1,200,000","$2,400,000"
223,Golmaal 3,2010,5.4,155.0,"Action,Comedy",Eros,2.035,"$1,100,000","$935,000","$2,035,000"
224,After.Life,2010,,,,Anch.,2.009,"$109,000","$1,900,000","$2,009,000"
225,Cairo Time,2010,,,,IFC,1.991,"$1,600,000","$391,000","$1,991,000"
226,Flipped,2010,7.7,90.0,"Comedy,Drama,Romance",WB,1.8,"$1,800,000",$0,"$1,800,000"
227,Guzaarish,2010,7.5,126.0,Drama,UTV,1.695,"$1,000,000","$695,000","$1,695,000"
228,Ondine,2010,,,,Magn.,1.65,"$550,000","$1,100,000","$1,650,000"
229,Anjaana Anjaani,2010,5.8,151.0,"Comedy,Drama,Musical",Eros,1.616,"$855,000","$761,000","$1,616,000"
230,John Rabe,2010,,,,Strand,1.4675,"$67,500","$1,400,000","$1,467,500"
231,Restrepo,2010,7.5,93.0,"Documentary,War",NGE,1.405,"$1,300,000","$105,000","$1,405,000"
232,Raavan,2010,5.4,130.0,"Action,Adventure,Crime",Relbig.,1.357,"$709,000","$648,000","$1,357,000"
233,The City Of Your Final Destination,2010,,,,Scre.,1.352,"$493,000","$859,000","$1,352,000"
234,It'S A Wonderful Afterlife,2010,5.4,100.0,"Comedy,Drama,Fantasy",UTV,1.3,$0,"$1,300,000","$1,300,000"
235,Ajami,2010,,,,Kino,1.291,"$622,000","$669,000","$1,291,000"
236,Army Of Crime,2010,,,,Lorb.,1.237,"$37,000","$1,200,000","$1,237,000"
