,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,genres,director
47,2013-05-16,Star Trek Into Darkness 2013,190000000,228778661,467381584,238602923,277381584,"Action,Adventure,Sci-Fi",J.J. Abrams
48,2013-06-21,World War Z 2013,190000000,202359711,531514650,329154939,341514650,"Action,Adventure,Horror",Marc Forster
49,2013-05-10,The Great Gatsby 2013,190000000,144840419,351040419,206200000,161040419,"Drama,Romance",Baz Luhrmann
50,2013-07-12,Pacific Rim 2013,190000000,101802906,411002906,309200000,221002906,"Action,Adventure,Sci-Fi",Guillermo del Toro
51,2015-11-25,The Good Dinosaur 2015,187500000,123087120,333771037,210683917,146271037,"Adventure,Animation,Comedy",Peter Sohn
52,2012-06-22,Brave 2012,185000000,237282182,554606532,317324350,369606532,"Adventure,Animation,Comedy","Brenda Chapman, Steve Purcell, Mark Andrews"
53,2017-03-10,Kong: Skull Island 2017,185000000,168052812,561072059,393019247,376072059,"Action,Adventure,Fantasy",Jordan Vogt-Roberts
54,2016-07-22,Star Trek Beyond 2016,185000000,158848340,335802233,176953893,150802233,"Action,Adventure,Sci-Fi",Justin Lin
55,2017-10-06,Blade Runner 2049 2017,185000000,92054159,259357408,167303249,74357408,"Drama,Mystery,Sci-Fi",Denis Villeneuve
56,2019-05-24,Aladdin 2019,182000000,246734314,619234314,372500000,437234314,"Adventure,Comedy,Family",Guy Ritchie
57,2017-11-03,Thor: Ragnarok 2017,180000000,315058289,846980024,531921735,666980024,"Action,Adventure,Comedy",Taika Waititi
58,2014-05-30,Maleficent 2014,180000000,241407328,758536735,517129407,578536735,"Action,Adventure,Family",Robert Stromberg
59,2016-11-18,Fantastic Beasts and Where to Find Them 2016,180000000,234037575,802402853,568365278,622402853,"Adventure,Family,Fantasy",David Yates
60,2016-07-01,The Legend of Tarzan 2016,180000000,126643061,348902025,222258964,168902025,"Action,Adventure,Drama",David Yates
61,2011-11-23,Hugo 2011,180000000,73864507,180047784,106183277,47784,"Adventure,Drama,Family",Martin Scorsese
62,2017-07-21,Valerian and the City of a Thousand Planets 2017,180000000,40479370,215098356,174618986,35098356,"Action,Adventure,Fantasy",Luc Besson
63,2015-02-06,Jupiter Ascending 2015,179000000,47482519,181982519,134500000,2982519,"Action,Adventure,Sci-Fi","Lilly Wachowski, Lana Wachowski"
64,2016-05-27,X-Men: Apocalypse 2016,178000000,155442489,542537546,387095057,364537546,"Action,Adventure,Sci-Fi",Bryan Singer
65,2018-08-10,The Meg 2018,178000000,145443742,529530715,384086973,351530715,"Action,Horror,Sci-Fi",Jon Turteltaub
66,2014-06-06,Edge of Tomorrow 2014,178000000,100206256,370541256,270335000,192541256,"Action,Sci-Fi",Doug Liman
67,2019-03-08,Captain Marvel 2019,175000000,426525952,1123061550,696535598,948061550,"Action,Adventure,Sci-Fi","Ryan Fleck, Anna Boden"
68,2016-04-15,The Jungle Book 2016,175000000,364001123,962854547,598853424,787854547,"Adventure,Drama,Family",Jon Favreau
69,2015-06-19,Inside Out 2015,175000000,356461711,854235992,497774281,679235992,"Adventure,Animation,Comedy","Pete Docter, Ronnie Del Carmen"
70,2017-07-07,Spider-Man: Homecoming 2017,175000000,334201140,880166350,545965210,705166350,"Action,Adventure,Sci-Fi",Jon Watts
71,2016-08-05,Suicide Squad 2016,175000000,325100054,746059887,420959833,571059887,"Action,Adventure,Fantasy",David Ayer
72,2017-11-22,Coco 2017,175000000,209726015,798008101,588282086,623008101,"Adventure,Animation,Comedy","Lee Unkrich, Adrian Molina"
74,2017-06-16,Cars 3 2017,175000000,152901115,383541369,230640254,208541369,"Adventure,Animation,Comedy",Brian Fee
75,2017-05-12,King Arthur: Legend of the Sword 2017,175000000,39175066,139630336,100455270,-35369664,"Action,Adventure,Drama",Guy Ritchie
76,2013-12-25,47 Ronin 2013,175000000,38362475,151716815,113354340,-23283185,"Action,Adventure,Drama",Carl Rinsch
77,2018-06-22,Jurassic World: Fallen Kingdom 2018,170000000,417719760,1305772799,888053039,1135772799,"Action,Adventure,Sci-Fi",J.A. Bayona
78,2014-08-01,Guardians of the Galaxy 2014,170000000,333172112,770867516,437695404,600867516,"Action,Adventure,Comedy",James Gunn
